1;10100;LIBERTADOR
2;20100;AUTÓNOMO ALTO ORINOCO
2;20200;AUTÓNOMO ATABAPO
2;20300;AUTÓNOMO ATURES
2;20400;AUTONOMO AUTANA
2;20500;AUTÓNOMO MAROA
2;20600;AUTÓNOMO MANAPIARE
2;20700;AUTÓNOMO RÍO NEGRO
3;30100;ANACO
3;30200;ARAGUA
3;30300;FERNANDO DE PEÑALVER
3;30400;FRANCISCO DEL CARMEN CARVAJAL
3;30500;FRANCISCO DE MIRANDA
3;30600;GUANTA
3;30700;INDEPENDENCIA
3;30800;JUAN ANTONIO SOTILLO
3;30900;JUAN MANUEL CAJIGAL
3;31000;JOSÉ GREGORIO MONAGAS
3;31100;LIBERTAD
3;31200;MANUEL EZEQUIEL BRUZUAL
3;31300;PEDRO MARÍA FREITES
3;31400;PÍRITU
3;31500;SAN JOSÉ DE GUANIPA
3;31600;SAN JUAN DE CAPISTRANO
3;31700;SANTA ANA
3;31800;SIMÓN BOLÍVAR
3;31900;SIMÓN RODRÍGUEZ
3;32000;SIR ARTHUR MC GREGOR
3;32100;TURÍSTICO DIEGO BAUTISTA URBANEJA
4;40100;ACHAGUAS
4;40200;BIRUACA
4;40300;MUÑOZ
4;40400;PÁEZ
4;40500;PEDRO CAMEJO
4;40600;RÓMULO GALLEGOS
4;40700;SAN FERNANDO
5;50100;BOLÍVAR
5;50200;CAMATAGUA
5;50300;GIRARDOT
5;50400;JOSÉ ÁNGEL LAMAS
5;50500;JOSÉ FÉLIX RIBAS
5;50600;JOSÉ RAFAEL REVENGA
5;50700;LIBERTADOR
5;50800;MARIO BRICEÑO IRAGORRY
5;50900;SAN CASIMIRO
5;51000;SAN SEBASTIÁN
5;51100;SANTIAGO MARIÑO
5;51200;SANTOS MICHELENA
5;51300;SUCRE
5;51400;TOVAR
5;51500;URDANETA
5;51600;ZAMORA
5;51700;FRANCISCO LINARES ALCANTARA
5;51800;OCUMARE DE LA COSTA DE ORO
6;60100;ALBERTO ARVELO TORREALBA
6;60200;ANTONIO JOSÉ DE SUCRE
6;60300;ARISMENDI
6;60400;BARINAS
6;60500;BOLÍVAR
6;60600;CRUZ PAREDES
6;60700;EZEQUIEL ZAMORA
6;60800;OBISPOS
6;60900;PEDRAZA
6;61000;ROJAS
6;61100;SOSA
6;61200;ANDRÉS ELOY BLANCO
7;70100;CARONÍ
7;70200;CEDEÑO
7;70300;EL CALLAO
7;70400;GRAN SABANA
7;70500;HERES
7;70600;PIAR
7;70700;RAÚL LEONI
7;70800;ROSCIO
7;70900;SIFONTES
7;71000;SUCRE
7;71100;PADRE PEDRO CHIEN
8;80100;BEJUMA
8;80200;CARLOS ARVELO
8;80300;DIEGO IBARRA
8;80400;GUACARA
8;80500;JUAN JOSÉ MORA
8;80600;LIBERTADOR
8;80700;LOS GUAYOS
8;80800;MIRANDA
8;80900;MONTALBÁN
8;81000;NAGUANAGUA
8;81100;PUERTO CABELLO
8;81200;SAN DIEGO
8;81300;SAN JOAQUÍN
8;81400;VALENCIA
9;90100;ANZOÁTEGUI
9;90200;FALCÓN
9;90300;GIRARDOT
9;90400;LIMA BLANCO
9;90500;PAO DE SAN JUAN BAUTISTA
9;90600;RICAURTE
9;90700;RÓMULO GALLEGOS
9;90800;SAN CARLOS
9;90900;TINACO
10;100100;ANTONIO DÍAZ
10;100200;CASACOIMA
10;100300;PEDERNALES
10;100400;TUCUPITA
11;110100;ACOSTA
11;110200;BOLÍVAR
11;110300;BUCHIVACOA
11;110400;CACIQUE MANAURE
11;110500;CARIRUBANA
11;110600;COLINA
11;110700;DABAJURO
11;110800;DEMOCRACIA
11;110900;FALCÓN
11;111000;FEDERACIÓN
11;111100;JACURA
11;111200;LOS TAQUES
11;111300;MAUROA
11;111400;MIRANDA
11;111500;MONSEÑOR ITURRIZA
11;111600;PALMASOLA
11;111700;PETIT
11;111800;PIRITU
11;111900;SAN FRANCISCO
11;112000;SILVA
11;112100;SUCRE
11;112200;TOCOPERO
11;112300;UNIÓN
11;112400;URUMACO
11;112500;ZAMORA
12;120100;CAMAGUAN
12;120200;CHAGUARAMAS
12;120300;EL SOCORRO
12;120400;SAN GERÓNIMO DE GUAYABAL
12;120500;LEONARDO INFANTE
12;120600;LAS MERCEDES
12;120700;JULIÁN MELLADO
12;120800;FRANCISCO DE MIRANDA
12;120900;JOSÉ TADEO MONAGAS
12;121000;ORTIZ
12;121100;JOSÉ FÉLIX RIBAS
12;121200;JUAN GERMAN ROSCIO
12;121300;SAN JOSÉ DE GUARIBE
12;121400;SANTA MARÍA DE IPIRE
12;121500;PEDRO ZARAZA
13;130100;ANDRÉS ELOY BLANCO
13;130200;CRESPO
13;130300;IRIBARREN
13;130400;JIMÉNEZ
13;130500;MORÓN
13;130600;PALAVECINO
13;130700;SIMÓN PLANAS
13;130800;TORRES
13;130900;URDANETA
14;140100;ALBERTO ADRIANI
14;140200;ANDRÉS BELLO
14;140300;ANTONIO PINTO SALINAS
14;140400;ARICAGUA
14;140500;ARZOBISPO CHACÓN
14;140600;CAMPO ELÍAS
14;140700;CARACCIOLO PARRA OLMEDO
14;140800;CARDENAL QUINTERO
14;140900;GUARAQUE
14;141000;JULIO CESAR SALAS
14;141100;JUSTO BRICEÑO
14;141200;LIBERTADOR
14;141300;MIRANDA
14;141400;OBISPO RAMOS DE LORA
14;141500;PADRE NOGUERA
14;141600;PUEBLO LLANO
14;141700;RANGEL
14;141800;RIVAS DÁVILA
14;141900;SANTOS MARQUINA
14;142000;SUCRE
14;142100;TOVAR
14;142200;TULIO FEBRES CORDERO
14;142300;ZEA
15;150100;ACEVEDO
15;150200;ANDRÉS BELLO
15;150300;BARUTA
15;150400;BRION
15;150500;BUROZ
15;150600;CARRIZAL
15;150700;CHACAO
15;150800;CRISTÓBAL ROJAS
15;150900;EL HATILLO
15;151000;GUAICAIPURO
15;151100;INDEPENDENCIA
15;151200;LANDER
15;151300;LOS SALÍAS
15;151400;PÁEZ
15;151500;PAZ CASTILLO
15;151600;PEDRO GUAL
15;151700;PLAZA
15;151800;SIMÓN BOLÍVAR
15;151900;SUCRE
15;152000;URDANETA
15;152100;ZAMORA
16;160100;ACOSTA
16;160200;AGUASAY
16;160300;BOLÍVAR
16;160400;CARIPE
16;160500;CEDEÑO
16;160600;EZEQUIEL ZAMORA
16;160700;LIBERTADOR
16;160800;MATURÍN
16;160900;PIAR
16;161000;PUNCERES
16;161100;SANTA BÁRBARA
16;161200;SOTILLO
16;161300;URACOA
17;170100;ANTOLON DEL CAMPO
17;170200;ARISMENDI
17;170300;DÍAZ
17;170400;GARCÍA
17;170500;GÓMEZ
17;170600;MANEIRO
17;170700;MARCANO
17;170800;MARIÑO
17;170900;PENÍNSULA DE MACANAO
17;171000;TUBORES
17;171100;VILLALBA
18;180100;AGUA BLANCA
18;180200;ARAURE
18;180300;ESTELLER
18;180400;GUANARE
18;180500;GUANARITO
18;180600;MONSEÑOR JOSÉ VICENTE DE UNDA
18;180700;OSPINO
18;180800;PÁEZ
18;180900;PAPELON
18;181000;SAN GENARO DE BOCONOITO
18;181100;SAN RAFAEL DE ONOTO
18;181200;SANTA ROSALÍA
18;181300;SUCRE
18;181400;TURÍN
19;190100;ANDRÉS ELOY BLANCO
19;190200;ANDRÉS MATA
19;190300;ARISMENDI
19;190400;BENÍTEZ
19;190500;BERMÚDEZ
