4;1;7;ANDRÉS ELOY BLANCO
4;1;2;CHORONI
4;1;4;JOAQUIN CRESPO
4;1;6;JOSÉ CASANOVA GODOY
4;1;1;LAS DELICIAS
4;1;8;LOS TACARIGUAS
4;1;3;MADRE MARÍA DE SAN JOSÉ
4;1;5;PEDRO JOSÉ OVALLES
4;11;1;SAN MATEO
4;15;1;CAMATAGUA
4;15;2;CARMEN DE CURA
4;17;1;SANTA RITA
4;17;2;FRANCISCO DE MIRANDA
4;17;3;MONSEÑOR FELICIANO GONZALÉZ
4;10;1;SANTA CRUZ
4;3;1;JUAN VICENTE BOLÍVAR
4;3;4;CASTOR NIEVES RÍOS
4;3;5;LAS GUACAMAYAS
4;3;3;PAO DE ZARATE
4;3;2;ZUATA
4;16;1;EL CONSEJO
4;9;1;PALO NEGRO
4;9;2;SAN MARTÍN DE PORRES
4;13;1;EL LIMÓN
4;13;2;CAÑA DE AZUCAR
4;18;1;OCUMARE DE LA COSTA
4;4;1;SAN CASIMIRO
4;4;3;GÜIRIPA
4;4;4;OLLAS DE CARAMACATE
4;4;2;VALLE MORÍN
4;5;1;SAN SEBASTIAN
4;2;1;TURMERO
4;2;3;ALFREDO PACHECO MIRANDA
4;2;5;AREVALO APONTE
4;2;4;CHUAO
4;2;2;SAMAN DE GÜERE
4;12;1;LAS TEJERÍAS
4;12;2;TIARA
4;6;1;CAGUA
4;6;2;BELLA VISTA
4;14;1;COLONIA TOVAR
4;7;1;BARBACOAS
4;7;4;LAS PEÑITAS
4;7;2;SAN FRANCISCO DE CARA
4;7;3;TAGUAY
4;8;1;VILLA DE CURA
4;8;2;MAGDALENO
4;8;5;AUGUSTO MIJARES
4;8;3;SAN FRANCISCO DE ASIS
4;8;4;VALLES DE TUCUTUNEMO
